num,title
981,Strategic Entrepreneurship Journal
676,Journal of Management History
578,Journal of Economics and Business
900,Qualitative Research Journal
1014,The Chinese Economy
35,Agribusiness
1110,Universia Business Review
821,Management and Organization Review
1118,Webology
665,Journal of Korean Academy of Nursing Administration
497,Investment Management and Financial Innovations
765,Journal of World Business
446,International Journal of Research in Marketing
872,Philosophy of Management
19,Accounting and Business Research
481,International Marketing Review
1013,The Case Journal
629,Journal of Historical Research in Marketing
218,European Journal of International Management
124,Computational Economics
1026,The International Journal of Entrepreneurship and Innovation
718,Journal of Public Procurement
163,Economic Analysis and Policy
855,Optimization Letters
286,IEEE Engineering Management Review
554,Journal of Computer Information Systems
996,Systems Research and Behavioral Science
346,International Journal of Construction Management
221,European Journal of Risk Regulation
350,"International Journal of Culture, Tourism and Hospitality Research"
22,Acta Commercii
30,Advances in Developing Human Resources
322,International Food and Agribusiness Management Review
155,E-Journal of international and comparative labour studies
764,Journal of Workplace Learning
192,Enterprise Information Systems
1123,"World Journal of Entrepreneurship, Management and Sustainable Development"
805,Logistics Research
387,International Journal of Human–Computer Interaction
808,Management
595,"Journal of Entrepreneurship, Management and Innovation"
469,"International Journal of Technology, Policy and Management"
68,Asian Journal of Management Cases
73,Australasian Journal of Construction Economics and Building
158,EUROPEAN RESEARCH STUDIES JOURNAL
422,International Journal of Market Research
202,Equilibrium. Quarterly Journal of Economics and Economic Policy
1101,Transportation Research Part B: Methodological
90,Business Ethics Quarterly
106,Central European Journal of Operations Research
583,Journal of Educational Administration
454,International Journal of Sociology and Social Policy
182,Emerging Markets Review
976,South Asian Journal of Business and Management Cases
377,"International Journal of Fashion Design, Technology and Education"
302,Industry and Higher Education
458,International Journal of Strategic Property Management
1088,Traffic Injury Prevention
147,DECISION
865,Performance Measurement and Metrics
762,Journal of Vocational Behavior
726,Journal of Retailing
164,Economic Geography
890,Public Administration
25,Action Learning: Research and Practice
210,European Business Organization Law Review
162,Economic Alternatives
1133,on The Horizon
62,Asian Case Research Journal
308,Information Technology and Management
54,Asia Pacific Journal of Human Resources
305,Information Development
385,International Journal of Housing Markets and Analysis
127,Contemporary Accounting Research
47,Applied Financial Economics
737,Journal of Service Theory and Practice
256,Geojournal of Tourism and Geosites
707,Journal of Organizational Ethnography
266,Habitat International
678,Journal of Management Inquiry
492,International journal of evidence based coaching and mentoring
962,Social Behavior and Personality
885,Progress in geography
11,Academy of Strategic Management Journal
516,Journal of Applied Business Research
1111,Urban Studies
1010,The Anthropologist
751,Journal of Sustainable Development
908,RAUSP Management Journal
582,Journal of Education for Business
341,International Journal of Climate Change Strategies and Management
119,Communicatio
902,Quality Assurance in Education
296,Indian Journal of Marketing
801,Library Management
950,Science and Engineering Ethics
876,Pomorstvo
796,Leadership in Health Services
991,"Sustainability Accounting, Management and Policy Journal"
548,Journal of Chinese Human Resource Management
634,Journal of Indonesian Economy and Business
617,Journal of Futures Markets
157,EURO Journal on Transportation and Logistics
444,International Journal of Qualitative Methods
468,International Journal of Technology Marketing
850,Omega
222,European Journal of Sustainable Development
1011,The Australasian Accounting Business and Finance Journal
431,International Journal of Pharmaceutical and Healthcare Marketing
1108,Uncertain Supply Chain Management
1066,The Quarterly Review of Economics and Finance
993,Sustainable Cities and Society
605,Journal of Financial Crime
939,Risks
212,European Company and Financial Law Review
864,Pacific Accounting Review
788,Jurnal Komunikasi: Malaysian Journal of Communication
1017,The Economic and Labour Relations Review
515,Journal of Applied Accounting Research
989,Survey research methods
756,Journal of Transnational Management
277,Human Resource Development International
165,Economic Modelling
328,International Journal of Automotive Technology and Management
440,International Journal of Project Organisation and Management
139,Critical Perspectives on International Business
669,Journal of Loss Prevention in The Process Industries
103,Case Studies on Transport Policy
145,Current opinion in psychology
857,Organization
442,International Journal of Public Sector Management
848,OR Spectrum
1115,Vine
1034,The Journal of Adult Protection
