num,title
202,European Journal of Criminology
183,Environment and Planning C: Government and Policy
391,Journal of Chinese Political Science
277,Health promotion international
217,European Political Science
135,Continuum
389,Journal of Business Ethics
728,The Extractive Industries and Society
132,Contemporary Review of the Middle East
199,European History Quarterly
293,IDS Bulletin
128,Contemporary Italian Politics
758,The Pacific Review
55,Asian Ethnicity
194,Ethnicities
100,China perspectives
331,International Journal of Public Administration
200,European Journal of American Studies
254,Global Media and Communication
477,Journal of Risk Research
174,East Asia
341,International Journal on Minority and Group Rights
143,Critical Social Policy
145,Critical Studies on Security
456,Journal of Modern European History
105,Citizenship Studies
5,Accident; analysis and prevention
159,Dementia
221,European Review
661,Science and Public Policy
773,Town Planning Review
385,Journal of Australian Studies
444,Journal of International Relations and Development
560,Pacific Focus
482,Journal of Social Sciences
296,India Quarterly
284,"Historical Journal of Film, Radio and Television"
269,Health Communication
84,British Journal of Middle Eastern Studies
642,Resources Policy
539,Modern Asian Studies
156,Daedalus
608,Polity
244,Fudan Journal of the Humanities and Social Sciences
333,International Journal of Public Sector Management
693,South European Society and Politics
230,Federal Law Review
751,The Journal of Politics
266,Health
270,Health Education Journal
698,State and Local Government Review
201,European Journal of Communication
82,Bioethics
407,Journal of Contemporary European Studies
638,Representation
734,The Innovation Journal
273,Health Sociology Review
373,Islam and Christian–Muslim Relations
311,"International Environmental Agreements: Politics, Law and Economics"
494,Journal of Youth Studies
79,BMC Medical Ethics
368,International journal of health policy and management
397,Journal of Community Health
632,Quality Management in Health Care
267,Health Care Analysis
152,Current History
158,Defence and Peace Economics
737,The International Journal of Human Rights
627,Public Performance & Management Review
285,Historical Social Research
338,International Journal of Transitional Justice
575,Perspectives on Federalism
463,Journal of Planning Education and Research
134,Contemporary South Asia
220,European Public Law
723,The China Quarterly
324,International Journal of Health Economics and Management
110,Cold War History
263,Government and Opposition
472,Journal of Public Deliberation
651,Revista Brasileira De Politica Internacional
455,Journal of Military Ethics
596,Political Science
343,International Migration Review
581,Polar Record
641,Research Policy
314,International Indigenous Policy Journal
98,China Information
680,Social Sciences in China
121,Comparative Studies in Society and History
445,Journal of Interpersonal Violence
136,Cooperation and Conflict
264,Griffith Law Review
707,Swiss Political Science Review
527,Medical Humanities
334,International Journal of Refugee Law
449,Journal of Latin American Studies
497,Journal of international women's studies
689,South Asia Research
227,Evaluation
604,Politics and Policy
175,East European Politics
332,International Journal of Public Health
720,The British Journal of Politics and International Relations
764,The Social Science Journal
548,New Political Economy
591,Political Behavior
659,Scandinavian Political Studies
745,The Journal of Imperial and Commonwealth History
766,The Sociological Review
585,Policy Futures in Education
286,History Australia
195,Ethnopolitics
747,The Journal of Modern African Studies
433,Journal of Human Rights
375,Israel Law Review
106,City
546,Nature Human Behaviour
561,Pacific Journalism Review
743,The Journal of Asian Studies
283,Historia Mexicana
350,International Political Sociology
163,Developing world bioethics
157,Defence Studies
236,Foreign Affairs
13,Africa Review
412,Journal of Developing Societies
578,Perspectives on terrorism
377,Journal for Deradicalization
489,Journal of Theoretical Politics
514,Legislative Studies Quarterly
34,American Journal of Political Science
443,Journal of International Political Theory
48,Archives of gerontology and geriatrics
112,Common Market Law Review
550,New Zealand sociology
210,European Journal of Risk Regulation
367,International journal of disaster risk reduction
741,The International Spectator
488,Journal of Sustainable Development
167,Dialogues in Human Geography
644,Review of European Studies
450,Journal of Law and the Biosciences
716,The ANNALS of the American Academy of Political and Social Science
168,Digital Journalism
90,Cambridge Quarterly of Healthcare Ethics
612,Potchefstroom Electronic Law Journal
310,International Criminal Law Review
722,The China Journal
77,Austrian Journal of South-East Asian Studies
730,The Hastings Center report
50,Asia Policy
379,Journal of Advanced Research in Law and Economics
658,Scandinavian Journal of History
275,Health and human rights
503,Journalism Studies
66,Australasian Journal of Environmental Management
717,The American Review of Public Administration
683,Socialism and Democracy
422,Journal of European Integration
725,The Economic and Labour Relations Review
190,Esprit
41,Anthropologica
388,Journal of Borderlands Studies
241,French Politics
439,Journal of Intercultural Studies
298,Indiana Journal of Global Legal Studies
473,Journal of Public Policy
684,Society
387,Journal of Bioethical Inquiry
231,Federal register
138,Critical Asian Studies
75,Australian Planner
474,Journal of Racial and Ethnic Health Disparities
344,International Negotiation
786,Whitehall Papers
20,African Security Review
235,Fordham Law Review
232,Feminist Media Studies
617,Progress in Development Studies
705,Sustainability Science
605,Politics and Religion
742,The Journal of American-East Asian Relations
776,Transylvanian review of administrative sciences
177,Economic and Political Weekly
380,Journal of American Studies
792,World Politics
172,Drug and alcohol review
281,Hispania
752,The Journal of Slavic Military Studies
260,Global media journal
297,India Review
339,International Journal of Urban and Regional Research
614,Primary Health Care
462,Journal of Pharmaceutical Health Services Research
192,Estudos Ibero-americanos
240,Forum for Development Studies
268,Health Care Management Review
72,Australian Journal of Politics and History
447,Journal of Latin American Cultural Studies
558,Organization
95,Caucasus Survey
212,European Journal of Social Theory
162,Demokratizatsiya
554,Nordic Journal of International Law
46,Applied Economics
328,International Journal of Middle East Studies
662,Science as Culture
563,Parameters
406,Journal of Contemporary European Research
595,Political Research Quarterly
347,International Organizations Law Review
2,AMA journal of ethics
31,American Journal of Health Promotion
781,Utilities Policy
386,Journal of Balkan and Near Eastern Studies
471,Journal of Public Affairs Education
607,Politikon
622,Public Administration and Development
468,Journal of Politics in Latin America
724,The Chinese Journal of International Politics
506,Korean Journal of Defense Analysis
207,European Journal of Political Economy
43,Antipode
356,International Review of Public Administration
701,Studies in Comparative International Development
176,Ecological Economics
437,Journal of Industrial Relations
738,The International Journal of Management
78,BMC Medical Education
234,Food Policy
639,Res Publica
53,Asian Bioethics Review
714,"Territory, Politics, Governance"
15,African Affairs
459,Journal of Palestine Studies
272,Health Promotion International
428,Journal of Global Security Studies
490,Journal of Transatlantic Studies
436,Journal of Iberian and Latin American Research
242,Frontiers in Psychology
547,Netherlands Quarterly of Human Rights
10,Administrative Law Review
451,Journal of Legal Medicine
122,Comunicacion Y Sociedad
4,Academic Medicine
744,The Journal of Development Studies
280,Health:
676,Social Policy and Society
469,Journal of Public Administration Research and Theory
259,Global Trade and Customs Journal
615,Problems of Post-Communism
576,Perspectives on Global Development and Technology
361,International Studies
762,The Review of International Organizations
337,International Journal of Sport Policy and Politics
733,The Historical Journal
695,Space Policy
352,International Public Management Journal
186,"Environment, Development and Sustainability"
769,Theoretical Criminology
14,Africa Today
295,Impact Assessment and Project Appraisal
513,Leadership
594,Political Psychology
307,International Bulletin of Mission Research
512,Latin American and Caribbean Ethnic Studies
93,Canadian Journal of Political Science
629,Public Relations Inquiry
362,International Studies Perspectives
580,Place Branding and Public Diplomacy
700,Studia Islamika
23,Ageing and Society
631,Public Understanding of Science
478,Journal of Rural Studies
8,Addictive behaviors
502,Journalism Practice
432,Journal of Human Development and Capabilities
729,The Hague Journal of Diplomacy
696,Space and Polity
727,The European Legacy
225,European journal of health law
438,Journal of Integrated Care
115,Community Development Journal
590,Policy and Society
67,Australian Geographer
191,Estudios Sobre El Mensaje Periodistico
97,Children and Youth Services Review
495,Journal of forensic and legal medicine
589,Policy and Politics
470,Journal of Public Affairs
424,Journal of European Social Policy
395,Journal of Common Market Studies
753,The Journal of Social Sciences Research
96,Central Asian Survey
253,Global Health Research and Policy
243,Frontiers in Sociology
531,Mediterranean Quarterly
534,Middle East Law and Governance
290,Human Rights Law Review
650,Reviews in American History
425,Journal of Financial Crime
708,Systems Research and Behavioral Science
582,Police Practice and Research
398,Journal of Community Positive Practices
60,Asian Perspective
559,Organization Studies
556,Nurse education today
213,European Journal of Social Work
778,Urban Affairs Review
787,Women's History Review
304,Intelligence and National Security
76,Australian Social Work
671,Social Identities
250,Global Discourse
665,Security Journal
301,Innovation: The European Journal of Social Science Research
139,Critical Criminology
530,Medicine and law
336,International Journal of Sociology and Social Policy
42,Anthropological Quarterly
788,Womens Studies International Forum
18,African Journalism Studies
215,European Law Review
309,International Community Law Review
116,Community Mental Health Journal
544,Nationalities Papers
568,Patient preference and adherence
600,Political Theory
657,Saude E Sociedade
149,Cultural Studies
479,Journal of Security and Sustainability Issues
185,Environment and Planning D: Society and Space
434,Journal of Human Rights Practice
606,Politics in Central Europe
440,Journal of International Criminal Justice
118,Comparative Migration Studies
131,Contemporary Readings in Law and Social Justice
303,Insight on Africa
526,Medical History
366,International health
721,The Canadian Historical Review
635,Regional Studies
519,Management Science
562,Palgrave Communications
45,Anuario Mexicano de Derecho Internacional
686,Sociology Compass
496,Journal of health organization and management
94,Capitalism Nature Socialism
287,History Compass
535,Middle East Quarterly
784,War in History
211,European Journal of Social Security
417,"Journal of Elections, Public Opinion and Parties"
551,Nonprofit Policy Forum
56,Asian Journal of Comparative Politics
346,International Organization
21,African Studies Quarterly
646,Review of International Studies
