num,title
710,Psychology of Women Quarterly
286,Health
278,Forensic science international
301,Human Development
658,Proceedings of the ACM on Human-Computer Interaction
753,Scandinavian journal of psychology
296,Health promotion international
326,International Journal of Clinical and Experimental Hypnosis
864,Transactional Analysis Journal
514,Journal of Social and Clinical Psychology
788,Social Work/Maatskaplike Werk
389,Journal of Child Sexual Abuse
102,Behavioural and Cognitive Psychotherapy
476,Journal of Occupational and Organizational Psychology
582,Law and human behavior
417,Journal of Cross-Cultural Psychology
624,Neuropsychopharmacology Reports
235,Educational Research Review
484,Journal of Police and Criminal Psychology
811,The American journal of psychology
726,Quarterly journal of experimental psychology
784,Social Work Education
755,School Psychology International
694,Psychological reports
167,Cognitive and Behavioral Practice
395,Journal of Cognition
190,Current Addiction Reports
742,Review of General Psychology
355,International journal of psychology and psychological therapy
378,Journal of Bisexuality
808,The American Journal of Family Therapy
19,Ageing and Society
860,Topics in Early Childhood Special Education
554,Journal of occupational health psychology
586,Learning and Motivation
632,Nurse education today
342,International Journal of Population Data Science
161,Cognitive Psychology
715,Psychosocial Intervention
795,Stress and Health
807,The American Journal of Drug and Alcohol Abuse
353,International Social Work
14,Advances in Cognitive Psychology
601,Merrill-Palmer Quarterly
26,American Journal of Community Psychology
162,Cognitive Research: Principles and Implications
723,"Qualitative Research in Sport, Exercise and Health"
314,Integrative Psychological and Behavioral Science
311,Infant and Child Development
223,Eating Disorders
86,BMC Medical Ethics
262,European Psychologist
164,Cognitive Systems Research
469,Journal of Moral Education
425,Journal of Education and Health Promotion
130,Child Psychiatry and Human Development
272,Eye
769,Small Group Research
461,Journal of LGBT Youth
133,Child psychiatry and human development
804,Teaching and Teacher Education
350,International Journal of Sport and Exercise Psychology
552,Journal of music therapy
421,Journal of Early Childhood Research
481,Journal of Pediatric Psychology
70,Asian Journal of Social Psychology
566,Journal of the Association for Information Science and Technology
88,Basic and Applied Social Psychology
17,Advances in child development and behavior
335,International Journal of Group Psychotherapy
385,Journal of Child Custody
483,Journal of Personality and Social Psychology
74,Assessment & Evaluation in Higher Education
157,Cognitive Behaviour Therapy
79,Australasian Journal of Early Childhood
315,Intellectual and developmental disabilities
18,Advances in social work
836,The Journal of General Psychology
367,Journal of Applied Psychology
180,Constructivist Foundations
504,Journal of Research in Reading
522,Journal of Youth Studies
712,Psychometrika
244,Estudos De Psicologia (campinas)
183,Contemporary Psychoanalysis
222,Early Years
444,Journal of Family and Economic Issues
250,European Journal of Ageing
462,Journal of Language and Social Psychology
567,Journal of the History of the Neurosciences
412,Journal of Contextual Behavioral Science
729,Rehabilitation Psychology
585,Learning and Instruction
508,Journal of Social Issues
819,The Canadian Journal of Human Sexuality
398,Journal of Cognitive Education and Psychology
439,Journal of Family Psychotherapy
91,Behavior research methods
575,Judgment and Decision Making
420,Journal of EMDR Practice and Research
134,"Child: Care, Health and Development"
152,CoDAS
393,Journal of Clinical Sport Psychology
553,Journal of neuropsychology
673,Psychoanalytic Psychotherapy
69,Arts in Psychotherapy
871,Universitas Psychologica
360,Journal of Abnormal Psychology
669,Psychoanalytic Dialogues
845,The Journal of school health
682,Psychological Perspectives
43,Annals of Dyslexia
471,Journal of Motor Learning and Development
589,Mass Communication and Society
495,Journal of Psychosomatic Research
521,Journal of Youth Development
839,The Journal of Nietzsche Studies
